id,text,card_name,card_family,doc_type,scheme_name,reward_type,valid_period,issuer,source
國泰cube卡_rule_玩數位_idx0,國泰CUBE卡「玩數位」exclusion：include 包含：App Store；Apple Music；iCloud 等 Apple 媒體服務。exclude 包含：Apple Store 實體門市交易。,國泰CUBE卡,國泰CUBE卡,benefit_rule,玩數位,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_玩數位_idx1,國泰CUBE卡「玩數位」exclusion：exclude 包含：黃金、白銀等貴金屬；珠寶；遊戲點數；各類實體或電子票券（如百貨禮券、餐飲券、電影票券、住宿券、提貨券）；遊戲點數旗艦店；票券專區/票券館內品項。,國泰CUBE卡,國泰CUBE卡,benefit_rule,玩數位,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_玩數位_idx2,國泰CUBE卡「玩數位」restriction：include 包含：PChome 24h購物網站；PChome 24h購物 APP；PChome 24h書店。exclude 包含：PChome 商店街；PChomePay 支付連；海外代購；旅遊商品；儲值商品整筆訂單；電子票券整筆訂單。,國泰CUBE卡,國泰CUBE卡,benefit_rule,玩數位,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_樂饗購_idx3,國泰CUBE卡「樂饗購」restriction：include 包含：交易地點為臺灣之餐飲消費；透過聯合信用卡中心小額支付平台收費之餐廳。exclude 包含：購買餐券；飯店/旅館/酒店之餐飲；百貨/商場美食街餐廳。,國泰CUBE卡,國泰CUBE卡,benefit_rule,樂饗購,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx4,國泰CUBE卡「集精選」exclusion：exclude 包含：會員換購；菸酒商品；代收代售項目；藥局藥品；嬰幼兒奶粉及配方食品；團購商品；商品提貨券；儲值禮物卡；家樂福錢包儲值金及使用儲值金消費；虛擬儲值（電話預付卡、線上遊戲點數卡、KKBOX 等）；安裝與運費；垃圾袋與環保相關指定品項；預購及大宗採購；美食街與商店街消費。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx5,國泰CUBE卡「集精選」exclusion：include 包含：全聯福利中心實體門市；PX Pay 綁CUBE卡交易。exclude 包含：菸品；代收代售；一歲以下嬰兒奶粉；印花活動商品；積分活動商品；點數換購商品；禮券購買(含PX Pay App線上購買樂透卡/禮卡)；高速公路服務區門市；醫院美食街門市；企業辦公大樓門市；全支付綁卡交易。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx6,國泰CUBE卡「集精選」restriction：include 包含：中油直營加油站刷CUBE卡。exclude 包含：網路交易；電子票證交易；錢包儲值；中油Pay；街口支付；LINE Pay；台灣Pay；悠遊付；Pi拍錢包；橘子支付；支付寶；加氣站；非加油站場域之加油消費。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx7,國泰CUBE卡「集精選」exclusion：include 包含：7-ELEVEN實體門市；OPEN錢包店內支付；行動隨時取。exclude 包含：菸品；隨取卡；代收代售；高速公路服務區門市；醫院美食街門市；企業辦公大樓門市；icash Pay 綁卡付款；其他第三方/電子支付綁卡(如全盈支付、全支付等)。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx8,國泰CUBE卡「集精選」exclusion：include 包含：全家便利商店實體門市；My FamiPay 店內支付。exclude 包含：菸品；代收代售；儲值消費；全+1商城以My FamiPay支付；全家行動購；好享券支付；Fami錢包APP儲值；高速公路服務區門市；醫院美食街門市；企業辦公大樓門市；icash Pay / 全盈支付 / 全支付 等第三方支付綁卡。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx9,國泰CUBE卡「集精選」restriction：include 包含：IKEA實體門市刷CUBE卡；IKEA實體門市以CUBE卡加入行動支付付款。exclude 包含：未以CUBE卡或以CUBE卡綁定指定支付工具付款。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx10,國泰CUBE卡「趣旅行」restriction：include 包含：國外餐飲；國外飯店到店付款。exclude 包含：儲值型交易；醫療事業(就醫、醫學美容等)；博奕類交易(賭博、賭場、賭博籌碼等)；飛機/郵輪上之消費；未經主管機關核准之境外投資交易平台(如 eToro)；其他經本行公告排除之項目(含保費等)。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx11,國泰CUBE卡「趣旅行」restriction：include 包含：東京迪士尼樂園園內消費與門票；東京華納兄弟哈利波特影城園內消費與門票；大阪環球影城(USJ)園內消費與門票。exclude 包含：遊樂園外之市區街邊店；遊樂園附設飯店；透過旅行社/線上旅遊平台購買門票。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx12,國泰CUBE卡「趣旅行」restriction：include 包含：Apple錢包交通卡(SUICA/PASMO/ICOCA)儲值；台灣高鐵網站/APP/臨櫃/自動售票機購票；Uber 搭乘；Grab 搭乘；yoxi 叫車；台灣大車隊App短程叫車；iRent 租車；和運租車；格上租車。exclude 包含：高鐵補票；列車上推車消費；台灣大車隊機場接送；台灣大車隊代駕服務；Grab 訂閱費。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx13,國泰CUBE卡「趣旅行」restriction：include 包含：中華航空；長榮航空；星宇航空；台灣虎航；國泰航空；樂桃航空；阿聯酋航空；酷航；捷星航空；日本航空；ANA全日空；亞洲航空；聯合航空；新加坡航空；越捷航空；大韓航空；達美航空；土耳其航空；卡達航空；法國航空。exclude 包含：旅行社購票；線上旅遊平台購票；機上免稅商品；機場商店；貴賓室消費；哩程購買/轉讓；機票以外附加費(升等/行李/稅/其他)。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,miles,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx14,國泰CUBE卡「趣旅行」restriction：include 包含：國內飯店住宿(含民宿/青年旅館/連鎖飯店等符合MCC之訂房)；星野集團官網/臨櫃訂房；全球迪士尼飯店官網/臨櫃訂房；東橫INN 官網/臨櫃訂房。exclude 包含：樂園套票；俱樂部；租期30天以上長租公寓；飯店/酒店/旅館附設餐廳；飯店美食街；代訂服務；飯店內精品商店；旅行社預訂飯店；機加酒/套裝行程。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx15,國泰CUBE卡「趣旅行」restriction：include 包含：KKday；Agoda；Klook；Airbnb；Booking.com；Trip.com。exclude 包含：Booking.com 租車；Booking.com 景點/活動；Booking.com 計程車。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,points,,國泰世華銀行,cube_benefits.md
